City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Santa Cruz Cabralia,BR,-16.2781,-39.0247,77.23,83,40,9.22
95,Pecos,US,31.4229,-103.4932,71.31,94,75,12.66
96,Canelones,UY,-34.6444,-56.2886,62.49,71,100,10.71
97,Moranbah,AU,-22.0016,148.0466,84.22,41,8,12.88
98,Grindavik,IS,63.8424,-22.4338,41.47,93,75,5.75
99,Saint-Augustin,CA,51.226,-58.6502,49.75,94,67,4.88
100,Atikokan,CA,48.7555,-91.6216,50.14,88,100,8.16
101,Dikson,RU,73.5069,80.5464,31.84,88,100,12.33
102,Barrow,US,71.2906,-156.7887,31.28,91,100,9.95
103,Qasigiannguit,GL,68.8193,-51.1922,19.18,79,100,3.4
104,Vostok,RU,46.4856,135.8833,37.65,41,49,13.13
105,Nizwa,OM,22.9333,57.5333,76.53,47,14,2.28
106,Conde,BR,-7.2597,-34.9075,74.66,94,20,0.0
107,Ternate,ID,0.8,127.4,85.57,65,100,2.01
108,Anadyr,RU,64.75,177.4833,45.1,93,75,22.37
109,Sao Felix Do Xingu,BR,-6.6447,-51.995,79.54,46,87,1.52
110,Kaitangata,NZ,-46.2817,169.8464,42.87,80,95,17.58
111,Santa Cruz,BO,-17.8,-63.1667,80.06,74,75,13.8
112,Vestmanna,FO,62.1564,-7.1664,47.32,76,75,20.71
113,Hithadhoo,MV,-0.6,73.0833,82.42,74,100,20.51
114,Les Cayes,HT,18.2,-73.75,79.52,81,27,4.09
115,Asasa,ET,7.1,39.2,50.18,88,52,3.0
116,Petawawa,CA,45.9001,-77.3328,53.78,89,100,3.8
117,Hofn,IS,64.2539,-15.2082,42.33,57,42,10.87
118,Georgetown,MY,5.4112,100.3354,81.9,87,20,3.44
119,Mangla,PK,31.8931,72.3817,75.94,32,0,8.1
120,Tasiilaq,GL,65.6145,-37.6368,23.11,50,86,6.22
121,Pochutla,MX,15.7432,-96.4661,74.66,86,23,3.91
122,Ayagoz,KZ,47.9714,80.4392,39.7,52,7,8.84
123,Vila Praia De Ancora,PT,41.811,-8.8526,67.1,90,100,7.0
124,Ribeira Grande,PT,38.5167,-28.7,71.06,83,96,4.52
125,Hobyo,SO,5.3505,48.5268,76.73,87,64,16.04
126,Pacific Grove,US,36.6177,-121.9166,64.81,91,31,8.01
127,Kimbe,PG,-5.5502,150.1429,91.0,54,75,7.7
128,Puerto Ayacucho,VE,5.6639,-67.6236,75.79,89,95,3.85
129,Vardo,NO,70.3705,31.1107,44.58,76,100,16.11
130,Port Elizabeth,ZA,-33.918,25.5701,59.31,87,40,9.22
131,Makakilo City,US,21.3469,-158.0858,81.45,69,48,6.24
132,Opuwo,NA,-18.0607,13.84,67.32,34,0,4.34
133,Khatanga,RU,71.9667,102.5,6.46,99,100,4.05
134,Blois,FR,47.5833,1.3333,57.33,85,100,6.06
135,Kondinskoye,RU,59.6481,67.41,43.41,64,100,5.48
136,Doliana,GR,39.9032,20.5794,55.29,62,45,4.76
137,Troitskoye,RU,52.9821,84.6757,37.74,95,100,7.74
138,Manokwari,ID,-0.8667,134.0833,84.11,66,70,6.31
139,Yatou,CN,37.15,122.3833,58.3,45,51,18.05
140,East London,ZA,-33.0153,27.9116,63.61,83,100,10.89
141,Tiksi,RU,71.6872,128.8694,24.51,82,100,16.2
142,Barra Do Garcas,BR,-15.89,-52.2567,78.08,66,100,4.5
143,Kaeo,NZ,-35.1,173.7833,56.82,52,45,14.12
144,Eydhafushi,MV,5.1033,73.0708,81.81,77,99,16.96
145,At-Bashi,KG,41.1702,75.8106,44.67,63,90,3.04
146,Cabedelo,BR,-6.9811,-34.8339,76.68,86,13,9.53
147,Mahebourg,MU,-20.4081,57.7,68.25,79,18,14.45
148,Kajaani,FI,64.2273,27.7285,48.25,93,100,12.66
149,Coruripe,BR,-10.1256,-36.1756,74.88,91,7,8.88
150,Ahome,MX,25.9167,-109.1833,80.76,67,0,6.89
151,Ilulissat,GL,69.2167,-51.1,17.62,70,100,5.1
152,Sao Filipe,CV,14.8961,-24.4956,78.19,86,54,13.62
153,Port Alfred,ZA,-33.5906,26.891,57.18,94,66,1.99
154,Erzin,TR,36.9559,36.2,69.1,85,11,2.24
155,Itacurubi Del Rosario,PY,-24.5,-56.6833,69.08,96,100,13.33
156,Avarua,CK,-21.2078,-159.775,78.85,65,20,18.41
157,Yar-Sale,RU,66.8333,70.8333,32.86,90,98,11.77
158,Store Heddinge,DK,55.3097,12.3889,56.91,78,91,23.8
159,Bodmin,GB,50.4715,-4.7243,57.16,58,20,13.8
160,Thompson,CA,55.7435,-97.8558,28.56,86,75,13.8
161,Saint-Philippe,RE,-21.3585,55.7679,63.99,77,40,11.54
162,Coelho Neto,BR,-4.2567,-43.0128,76.39,78,7,5.03
163,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,16.11
164,Torbay,CA,47.6666,-52.7314,52.27,87,100,1.01
165,Katsuura,JP,35.1333,140.3,60.22,91,100,22.97
166,Vega De Alatorre,MX,20.0333,-96.6333,75.96,84,96,1.59
167,Sassandra,CI,4.95,-6.0833,73.53,96,50,4.09
